Zoom Karaoke 001-013 Contents.IF ANYONE HAS 014-020 PLEASE POST THEM THANKS..

www.forum.stirrup-entertainment.co.uk (vist us and ask for any karaoke you want)
If we've got it we'll torrent it..........................................ENJOY.

REMEMBER TO SHARE ITS ONLY FARE.!!!

MF CODE	TRACK	SONG	ARTIST
ZOOM009	12	LAST CHRISTMAS	WHAM
ZOOM009	13	LONELY THIS CHRISTMAS	MUD
ZOOM009	14	NEW YEAR'S DAY	U2
ZOOM009	15	STOP THE CAVALRY	JONA LEWIE
ZOOM009	16	WONDERFUL CHRISTMAS TIME	PAUL MCCARTNEY
ZOOM009	17	MERRY CHRISTMAS EVERYBODY	SLADE
ZOOM010	01	I LOST MY HEART TO A STARSHIP TROOP	SARAH BRIGHTMAN AND HOT GOSSI
ZOOM010	02	LABOUR OF LOVE	HUE AND CRY
ZOOM010	03	SPIT IN THE RAIN	DEL AMITRI
ZOOM010	04	DON'T PLAY YOUR ROCK 'N' ROLL TO ME	SMOKIE
ZOOM010	05	FOR A FEW DOLLARS MORE	SMOKIE
ZOOM010	06	SHERRY DARLING	BRUCE SPRINGSTEEN
ZOOM010	07	GIRL U WANT	DEVO
ZOOM010	08	BEAUTIFUL WORLD	DEVO
ZOOM010	09	WHEN I'M DEAD AND GONE	MCGUINNESS FLINT
ZOOM010	10	I LOVE TO BOOGIE	T REX
ZOOM010	11	HELLO HAPPINESS	DRIFTERS
ZOOM010	12	THERE'S A GUY WORKS DOWN THE CHIP S	KIRSTY MCCOLL
ZOOM010	13	MY MOTHER'S EYES	TOM JONES
ZOOM010	14	LAS VEGAS	TONY CHRISTIE
ZOOM010	15	I DID WHAT I DID FOR MARIA	TONY CHRISTIE
ZOOM010	16	DRIVE SAFELY DARLING	TONY CHRISTIE
ZOOM010	17	IS THIS THE WAY TO AMARILLO	TONY CHRISTIE
ZOOM010	18	AVENUES AND ALLEYWAYS	TONY CHRISTIE
ZOOM011	01	BETTER MAN	BRIAN KENNEDY
ZOOM011	02	BUNCH OF THYME	FOSTER AND ALLEN
ZOOM011	03	ALL KINDS OF EVERYTHING	DANA
